データ日付,終値,始値,高値,安値
"2005/12/01","480.55","456.97","480.55","456.97"
"2006/01/01","517.94","481.29","517.94","481.29"
"2006/02/01","525.90","520.06","525.90","511.48"
"2006/03/01","537.50","528.77","538.14","519.35"
"2006/04/01","577.72","542.16","577.72","542.16"
"2006/05/01","531.28","578.94","599.11","528.41"
"2006/06/01","531.28","530.29","539.42","493.93"
"2006/07/01","542.48","535.17","543.23","506.55"
"2006/08/01","551.50","543.07","555.89","543.07"
"2006/09/01","569.26","554.70","569.87","551.60"
"2006/10/01","606.28","570.61","609.83","568.94"
"2006/11/01","652.09","612.43","652.09","612.34"
"2006/12/01","670.98","654.20","673.58","637.16"
"2007/01/01","692.02","673.46","698.31","650.59"
"2007/02/01","689.86","697.53","732.08","689.86"
"2007/03/01","722.40","690.69","724.85","667.38"
"2007/04/01","752.68","724.93","766.81","724.93"
"2007/05/01","788.80","752.25","796.77","752.25"
"2007/06/01","790.12","798.41","808.21","779.54"
"2007/07/01","822.89","800.60","853.52","800.60"
"2007/08/01","772.04","793.61","794.40","706.11"
"2007/09/01","838.14","775.38","838.42","769.60"
"2007/10/01","902.63","848.57","908.32","846.61"
"2007/11/01","848.67","902.46","902.46","808.33"
"2007/12/01","863.07","851.78","874.91","813.61"
"2008/01/01","802.97","855.07","856.20","744.90"
"2008/02/01","833.80","811.84","842.33","790.83"
"2008/03/01","804.72","816.42","816.42","762.39"
"2008/04/01","812.61","808.45","832.77","797.25"
"2008/05/01","803.29","821.85","828.10","795.14"
"2008/06/01","741.04","795.95","795.95","741.04"
"2008/07/01","726.95","734.90","734.90","698.95"
"2008/08/01","688.12","721.80","721.80","671.25"
"2008/09/01","607.04","681.31","681.31","598.52"
"2008/10/01","436.70","606.40","606.40","404.40"
"2008/11/01","422.97","465.44","468.40","401.38"
"2008/12/01","458.23","408.32","469.86","399.08"
"2009/01/01","439.15","465.71","485.62","429.89"
"2009/02/01","409.83","427.96","439.98","409.83"
"2009/03/01","431.70","393.76","445.34","386.60"
"2009/04/01","504.71","434.10","504.71","434.10"
"2009/05/01","589.69","506.30","589.69","506.30"
"2009/06/01","606.66","606.44","629.46","577.58"
"2009/07/01","690.58","611.77","690.58","593.37"
"2009/08/01","683.32","700.04","700.04","663.42"
"2009/09/01","729.92","682.83","732.90","675.71"
"2009/10/01","725.81","731.58","759.59","722.01"
"2009/11/01","750.93","724.84","767.08","716.14"
"2009/12/01","781.45","764.89","781.45","758.19"
"2010/01/01","759.36","787.11","804.68","747.91"
"2010/02/01","766.09","754.21","766.87","733.57"
"2010/03/01","829.34","772.11","836.92","772.11"
"2010/04/01","857.09","842.35","862.79","837.04"
"2010/05/01","798.10","851.22","851.95","748.35"
"2010/06/01","833.79","781.30","854.31","781.30"
"2010/07/01","887.54","828.23","888.27","828.23"
"2010/08/01","905.02","893.73","905.48","873.64"
"2010/09/01","990.41","920.90","990.41","920.90"
"2010/10/01","1011.83","997.92","1020.02","997.92"
"2010/11/01","977.76","1023.04","1055.07","977.76"
"2010/12/01","1015.65","995.76","1015.67","981.58"
"2011/01/01","980.71","1023.27","1033.94","977.12"
"2011/02/01","974.96","982.46","1000.21","960.14"
"2011/03/01","1037.80","989.22","1037.80","973.09"
"2011/04/01","1088.65","1048.04","1088.65","1048.04"
"2011/05/01","1066.79","1091.69","1091.69","1044.03"
"2011/06/01","1065.45","1069.98","1069.98","1023.91"
"2011/07/01","1131.16","1073.02","1137.70","1072.01"
"2011/08/01","1038.32","1146.89","1146.89","1014.08"
"2011/09/01","906.60","1035.89","1042.31","874.55"
"2011/10/01","1001.37","874.11","1013.32","855.84"
"2011/11/01","954.33","968.48","988.63","919.70"
"2011/12/01","962.72","977.51","984.96","939.79"
"2012/01/01","1038.04","962.00","1038.04","962.00"
"2012/02/01","1087.64","1039.92","1087.64","1039.92"
"2012/03/01","1096.33","1084.61","1099.20","1059.67"
"2012/04/01","1113.78","1103.27","1113.78","1078.08"
"2012/05/01","1011.49","1115.02","1120.55","1011.49"
"2012/06/01","1060.78","999.98","1060.78","988.48"
"2012/07/01","1114.66","1069.70","1114.66","1067.67"
"2012/08/01","1102.75","1116.41","1121.97","1091.89"
"2012/09/01","1146.77","1111.82","1153.60","1102.80"
"2012/10/01","1154.33","1145.85","1165.43","1145.85"
"2012/11/01","1162.68","1151.20","1162.68","1133.35"
"2012/12/01","1199.86","1165.58","1202.10","1162.06"
"2013/01/01","1229.98","1212.55","1237.38","1212.05"
"2013/02/01","1275.74","1239.04","1275.74","1237.05"
"2013/03/01","1305.13","1274.56","1305.13","1255.23"
"2013/04/01","1342.31","1298.54","1342.31","1287.71"
"2013/05/01","1295.32","1342.60","1373.20","1295.32"
"2013/06/01","1232.02","1284.98","1291.87","1154.06"
"2013/07/01","1221.45","1229.89","1262.30","1183.18"
"2013/08/01","1104.45","1228.43","1235.61","1074.17"
"2013/09/01","1160.73","1110.61","1238.94","1094.47"
"2013/10/01","1224.34","1175.42","1233.78","1175.42"
"2013/11/01","1155.13","1210.73","1210.73","1149.77"
"2013/12/01","1127.52","1162.70","1162.70","1117.94"
"2014/01/01","1094.22","1112.36","1129.34","1093.33"
"2014/02/01","1150.28","1093.54","1150.28","1083.60"
"2014/03/01","1183.02","1148.16","1183.02","1147.70"
"2014/04/01","1210.99","1194.85","1218.40","1194.85"
"2014/05/01","1214.19","1213.60","1239.83","1208.30"
"2014/06/01","1234.26","1219.21","1236.40","1218.36"
"2014/07/01","1273.26","1232.90","1289.93","1232.90"
"2014/08/01","1286.40","1264.96","1297.40","1255.86"
"2014/09/01","1255.35","1288.68","1301.06","1255.35"
"2014/10/01","1251.98","1257.27","1257.27","1206.35"
"2014/11/01","1253.82","1251.87","1263.31","1239.07"
"2014/12/01","1217.19","1241.72","1243.98","1175.45"
"2015/01/01","1219.95","1212.34","1237.00","1182.68"
"2015/02/01","1232.63","1223.07","1241.47","1223.07"
"2015/03/01","1230.87","1228.44","1230.87","1190.99"
"2015/04/01","1229.84","1234.69","1271.42","1229.84"
"2015/05/01","1188.35","1230.88","1238.38","1188.35"
"2015/06/01","1163.58","1186.81","1186.81","1152.97"
"2015/07/01","1118.86","1166.97","1167.74","1108.72"
"2015/08/01","996.65","1116.13","1116.13","943.05"
"2015/09/01","942.32","986.42","999.86","932.96"
"2015/10/01","1013.93","941.12","1055.09","935.34"
"2015/11/01","986.42","1018.85","1039.87","985.91"
"2015/12/01","984.06","1000.00","1000.00","952.72"
"2016/01/01","959.01","959.63","962.58","891.45"
"2016/02/01","980.99","956.09","983.97","933.54"
"2016/03/01","1079.67","995.07","1079.67","995.07"
"2016/04/01","1065.76","1072.06","1098.83","1060.46"
"2016/05/01","1039.07","1062.01","1062.01","1022.22"
"2016/06/01","1086.15","1040.11","1087.71","1040.11"
"2016/07/01","1121.85","1090.23","1129.84","1087.43"
"2016/08/01","1126.65","1136.79","1149.85","1115.25"
"2016/09/01","1109.22","1121.14","1129.30","1087.85"
"2016/10/01","1084.44","1116.78","1122.63","1071.23"
"2016/11/01","1027.21","1086.80","1086.80","1021.26"
"2016/12/01","1039.73","1036.47","1058.51","1011.09"
"2017/01/01","1087.49","1043.28","1099.55","1043.28"
"2017/02/01","1106.39","1096.26","1109.53","1093.18"
"2017/03/01","1139.59","1109.78","1144.31","1097.41"
"2017/04/01","1154.85","1142.88","1162.03","1138.08"
"2017/05/01","1175.21","1162.58","1182.97","1162.58"
"2017/06/01","1191.09","1181.95","1200.15","1181.95"
"2017/07/01","1218.09","1198.46","1220.95","1183.04"
"2017/08/01","1215.07","1215.87","1218.85","1198.43"
"2017/09/01","1223.20","1215.20","1239.64","1211.02"
"月次データは、日次終値ベースで集計。月次データ日付は月初日。本資料は日経の著作物であり、本資料の全部又は一部を、いかなる形式によっても日経に無断で複写、複製、転載または流布することができません。"
